name,in_degree,out_degree,pagerank,betweenness,region,trigger,lifespan
Empire of Japan,5,2,0.030180750982453305,0.003931203931203931,East Asia,overextension,79
Goryeo,4,1,0.028902099357638013,0.007371007371007371,East Asia,fragmentation,474
Spanish Empire,5,3,0.028586457318472716,0.017444717444717445,Europe,fragmentation,406
Kushan Empire,2,1,0.02741585211573962,0.0038493038493038496,South Asia,conquest,345
Roman Empire,6,7,0.026995461506024127,0.0533988533988534,Europe,overextension,503
Gupta Empire,2,1,0.026702700912744178,8.19000819000819e-05,South Asia,migration,230
Silla,1,2,0.026411198193354316,0.0034398034398034397,East Asia,fragmentation,992
Inca Empire,2,2,0.02221143507480473,0.00475020475020475,Americas,conquest,95
Seleucid Empire,4,2,0.02157004247484409,0.029852579852579855,Middle East,fragmentation,249
French Colonial Empire,3,3,0.020623996321217766,0.011056511056511056,Europe,fragmentation,446
Koguryo,2,1,0.020275246031815318,0.0011466011466011467,East Asia,conquest,705
Dai Viet,3,2,0.020142664740663323,0.019000819000819,South Asia,fragmentation,836
Kingdom of Aksum,2,1,0.019755542805060946,0.0038493038493038496,Africa,economic,840
Liao Dynasty,3,2,0.019712876249389423,0.049713349713349717,East Asia,conquest,218
Tokugawa Shogunate,1,1,0.01894742513367073,0.0,East Asia,fragmentation,265
Kingdom of Kush,1,1,0.018631467385828163,0.0,Africa,conquest,1420
Srivijaya Empire,2,1,0.017946126822989406,8.19000819000819e-05,South Asia,economic,625
Parthian Empire,3,2,0.01770014437838763,0.026453726453726456,Middle East,conquest,471
Mixtec Empire,2,1,0.017357748783045815,0.0,Americas,conquest,621
Majapahit,1,1,0.01711337618776818,0.0,South Asia,fragmentation,234
Champa,2,1,0.016657928587204145,0.0012285012285012285,South Asia,conquest,1640
Buganda,2,1,0.016536975407410084,0.0,Africa,conquest,666
Chimu Empire,1,1,0.014431519377845956,0.0,Americas,conquest,570
Achaemenid Persian Empire,2,2,0.013966407366775383,0.009746109746109746,Middle East,conquest,220
Mughal Empire,4,3,0.013756879406767716,0.08304668304668304,South Asia,fragmentation,331
Aztec Empire,3,2,0.013081858785932007,0.0006552006552006552,Americas,conquest,176
Russian Empire and USSR,4,8,0.013018362484304111,0.04234234234234235,Europe,fragmentation,444
